day,hotel_name,food_prepared_kg,food_wasted_kg,day_of_week,waste_percentage
1,Vel Hotel,8,2.0,1,25.0
2,Vel Hotel,8,3.5,2,43.75
3,Vel Hotel,8,1.0,3,12.5
4,Vel Hotel,10,2.0,4,20.0
5,Vel Hotel,15,3.0,5,20.0
6,Vel Hotel,10,3.0,6,30.0
7,Vel Hotel,9,3.0,7,33.33333333333333
8,Vel Hotel,9,2.0,1,22.22222222222222
9,Vel Hotel,10,2.5,2,25.0
10,Vel Hotel,12,2.5,3,20.833333333333336
11,Vel Hotel,12,4.0,4,33.33333333333333
12,Vel Hotel,12,3.0,5,25.0
13,Vel Hotel,8,2.0,6,25.0
14,Vel Hotel,8,4.0,7,50.0
15,Vel Hotel,8,2.0,1,25.0
1,Raj Hotel,6,2.0,1,33.33333333333333
2,Raj Hotel,8,2.5,2,31.25
3,Raj Hotel,8,1.0,3,12.5
4,Raj Hotel,15,4.0,4,26.666666666666668
5,Raj Hotel,15,3.0,5,20.0
6,Raj Hotel,10,3.0,6,30.0
7,Raj Hotel,9,3.0,7,33.33333333333333
8,Raj Hotel,9,2.0,1,22.22222222222222
9,Raj Hotel,10,2.5,2,25.0
10,Raj Hotel,12,2.5,3,20.833333333333336
11,Raj Hotel,12,4.0,4,33.33333333333333
12,Raj Hotel,12,3.0,5,25.0
13,Raj Hotel,8,2.0,6,25.0
14,Raj Hotel,8,4.0,7,50.0
15,Raj Hotel,8,2.0,1,25.0
1,Hotel Durbar,28,8.0,1,28.57142857142857
2,Hotel Durbar,28,8.0,2,28.57142857142857
3,Hotel Durbar,25,8.0,3,32.0
4,Hotel Durbar,35,12.0,4,34.285714285714285
5,Hotel Durbar,35,10.0,5,28.57142857142857
6,Hotel Durbar,28,9.0,6,32.142857142857146
7,Hotel Durbar,25,5.0,7,20.0
8,Hotel Durbar,25,7.0,1,28.000000000000004
9,Hotel Durbar,30,9.0,2,30.0
10,Hotel Durbar,32,10.0,3,31.25
11,Hotel Durbar,34,11.0,4,32.35294117647059
12,Hotel Durbar,34,10.0,5,29.411764705882355
13,Hotel Durbar,25,6.0,6,24.0
14,Hotel Durbar,25,4.5,7,18.0
15,Hotel Durbar,25,4.0,1,16.0
1,Ragha Hotel,25,5.0,1,20.0
2,Ragha Hotel,25,5.0,2,20.0
3,Ragha Hotel,25,5.0,3,20.0
4,Ragha Hotel,35,8.0,4,22.857142857142858
5,Ragha Hotel,42,13.0,5,30.952380952380953
6,Ragha Hotel,30,8.0,6,26.666666666666668
7,Ragha Hotel,30,5.0,7,16.666666666666664
8,Ragha Hotel,30,9.0,1,30.0
9,Ragha Hotel,32,9.0,2,28.125
10,Ragha Hotel,35,9.0,3,25.71428571428571
11,Ragha Hotel,38,10.0,4,26.31578947368421
12,Ragha Hotel,35,13.0,5,37.142857142857146
13,Ragha Hotel,30,13.0,6,43.333333333333336
14,Ragha Hotel,30,10.0,7,33.33333333333333
15,Ragha Hotel,35,12.0,1,34.285714285714285
1,Madurai Kari Dhasai,25,12.0,1,48.0
2,Madurai Kari Dhasai,25,12.0,2,48.0
3,Madurai Kari Dhasai,25,12.0,3,48.0
4,Madurai Kari Dhasai,30,6.0,4,20.0
5,Madurai Kari Dhasai,45,10.0,5,22.22222222222222
6,Madurai Kari Dhasai,30,8.0,6,26.666666666666668
7,Madurai Kari Dhasai,35,11.0,7,31.428571428571427
8,Madurai Kari Dhasai,35,8.5,1,24.285714285714285
9,Madurai Kari Dhasai,32,8.0,2,25.0
10,Madurai Kari Dhasai,35,9.0,3,25.71428571428571
11,Madurai Kari Dhasai,38,9.0,4,23.684210526315788
12,Madurai Kari Dhasai,38,14.0,5,36.84210526315789
13,Madurai Kari Dhasai,38,12.0,6,31.57894736842105
14,Madurai Kari Dhasai,38,15.0,7,39.473684210526315
15,Madurai Kari Dhasai,38,17.0,1,44.73684210526316
1,Bhai Biriyani,32,5.0,1,15.625
2,Bhai Biriyani,29,4.0,2,13.793103448275861
3,Bhai Biriyani,35,6.0,3,17.142857142857142
4,Bhai Biriyani,31,5.0,4,16.129032258064516
5,Bhai Biriyani,37,7.0,5,18.91891891891892
6,Bhai Biriyani,28,4.0,6,14.285714285714285
7,Bhai Biriyani,40,8.0,7,20.0
8,Bhai Biriyani,33,5.0,1,15.151515151515152
9,Bhai Biriyani,30,5.0,2,16.666666666666664
10,Bhai Biriyani,38,7.0,3,18.421052631578945
11,Bhai Biriyani,29,4.0,4,13.793103448275861
12,Bhai Biriyani,36,6.0,5,16.666666666666664
13,Bhai Biriyani,39,7.0,6,17.94871794871795
14,Bhai Biriyani,42,9.0,7,21.428571428571427
15,Bhai Biriyani,40,8.0,1,20.0
1,Punjabi Daba,52,9.0,1,17.307692307692307
2,Punjabi Daba,48,7.0,2,14.583333333333334
3,Punjabi Daba,56,10.0,3,17.857142857142858
4,Punjabi Daba,50,8.0,4,16.0
5,Punjabi Daba,61,12.0,5,19.672131147540984
6,Punjabi Daba,46,7.0,6,15.217391304347828
7,Punjabi Daba,64,13.0,7,20.3125
8,Punjabi Daba,54,9.0,1,16.666666666666664
9,Punjabi Daba,49,8.0,2,16.3265306122449
10,Punjabi Daba,60,11.0,3,18.333333333333332
11,Punjabi Daba,47,7.0,4,14.893617021276595
12,Punjabi Daba,57,10.0,5,17.543859649122805
13,Punjabi Daba,62,12.0,6,19.35483870967742
14,Punjabi Daba,66,14.0,7,21.21212121212121
15,Punjabi Daba,61,10.0,1,16.39344262295082
1,Suriya's Restaurant,38,6.0,1,15.789473684210526
2,Suriya's Restaurant,35,5.0,2,14.285714285714285
3,Suriya's Restaurant,41,7.0,3,17.073170731707318
4,Suriya's Restaurant,37,5.0,4,13.513513513513514
5,Suriya's Restaurant,43,7.0,5,16.27906976744186
6,Suriya's Restaurant,34,5.0,6,14.705882352941178
7,Suriya's Restaurant,46,8.0,7,17.391304347826086
8,Suriya's Restaurant,39,6.0,1,15.384615384615385
9,Suriya's Restaurant,36,5.0,2,13.88888888888889
10,Suriya's Restaurant,44,8.0,3,18.181818181818183
11,Suriya's Restaurant,35,5.0,4,14.285714285714285
12,Suriya's Restaurant,42,7.0,5,16.666666666666664
13,Suriya's Restaurant,45,8.0,6,17.77777777777778
14,Suriya's Restaurant,48,9.0,7,18.75
15,Suriya's Restaurant,45,5.0,1,11.11111111111111
1,Orange Hut,25,3.0,1,12.0
2,Orange Hut,23,3.0,2,13.043478260869565
3,Orange Hut,27,4.0,3,14.814814814814813
4,Orange Hut,24,3.0,4,12.5
5,Orange Hut,29,5.0,5,17.24137931034483
6,Orange Hut,22,3.0,6,13.636363636363635
7,Orange Hut,31,5.0,7,16.129032258064516
8,Orange Hut,26,4.0,1,15.384615384615385
9,Orange Hut,24,3.0,2,12.5
10,Orange Hut,30,5.0,3,16.666666666666664
11,Orange Hut,23,3.0,4,13.043478260869565
12,Orange Hut,28,4.0,5,14.285714285714285
13,Orange Hut,30,5.0,6,16.666666666666664
14,Orange Hut,33,6.0,7,18.181818181818183
15,Orange Hut,31,4.0,1,12.903225806451612
1,Chillis Restaurant,55,10.0,1,18.181818181818183
2,Chillis Restaurant,51,8.0,2,15.686274509803921
3,Chillis Restaurant,60,11.0,3,18.333333333333332
4,Chillis Restaurant,54,9.0,4,16.666666666666664
5,Chillis Restaurant,65,13.0,5,20.0
6,Chillis Restaurant,49,8.0,6,16.3265306122449
7,Chillis Restaurant,68,14.0,7,20.588235294117645
8,Chillis Restaurant,58,10.0,1,17.24137931034483
9,Chillis Restaurant,52,9.0,2,17.307692307692307
10,Chillis Restaurant,63,12.0,3,19.047619047619047
11,Chillis Restaurant,50,8.0,4,16.0
12,Chillis Restaurant,61,11.0,5,18.0327868852459
13,Chillis Restaurant,66,13.0,6,19.696969696969695
14,Chillis Restaurant,71,15.0,7,21.12676056338028
15,Chillis Restaurant,70,13.0,1,18.571428571428573
